year,provider_type,provider_id,claims,beneficiaries,payment_amount,payment_per_claim,peer_count,payment_per_claim_q1,payment_per_claim_q3,claims_q1,claims_q3,review_flag,reason_codes
2008,facility_inpatient,23006G,315,239,2897100.0,9197.142857142857,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3600NG,228,147,2373900.0,10411.842105263158,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1000AH,237,212,2319700.0,9787.763713080169,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,2100WC,167,145,1761000.0,10544.91017964072,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3100JN,136,100,1619900.0,11911.029411764706,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3400XN,162,120,1578000.0,9740.74074074074,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,4500DP,154,104,1520400.0,9872.727272727272,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1401RR,181,150,1506900.0,8325.414364640885,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1002DC,134,105,1501100.0,11202.23880597015,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,2600ZT,165,132,1487450.0,9014.848484848484,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,0501MA,126,112,1396200.0,11080.952380952382,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,0400AC,130,85,1377000.0,10592.307692307691,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,4400MM,145,96,1355800.0,9350.344827586207,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1100TC,137,86,1286000.0,9386.861313868612,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,4500NJ,117,106,1270800.0,10861.538461538461,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1700JJ,133,92,1144100.0,8602.255639097744,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,0503SD,102,96,1132600.0,11103.921568627451,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3301QB,118,101,1103200.0,9349.152542372882,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3401MN,110,90,1089000.0,9900.0,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,15008B,101,58,1064000.0,10534.653465346535,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,2201YM,112,103,1025900.0,9159.82142857143,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3302VG,92,58,1000000.0,10869.565217391304,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,0505KQ,113,84,998000.0,8831.858407079646,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,0700JR,101,81,957200.0,9477.227722772277,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1000AV,92,70,931000.0,10119.565217391304,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3902XB,101,78,924800.0,9156.435643564357,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3400SP,101,66,919000.0,9099.009900990099,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1001ZQ,90,76,902700.0,10030.0,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1800WP,83,61,883600.0,10645.783132530121,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,1501ZA,93,82,873700.0,9394.623655913978,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,2501QH,85,58,862000.0,10141.176470588236,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
2008,facility_inpatient,3302BQ,101,93,860800.0,8522.772277227723,2408,6333.333333333333,11000.0,2.0,11.0,True,HIGH_CLAIM_VOLUME
