year,beneficiary_percentile,cumulative_payment_share
2008,1,0.17769475132071103
2008,2,0.28625357862521816
2008,3,0.36680499558357654
2008,4,0.43129800016624054
2008,5,0.48462212053836684
2008,6,0.5295758836773223
2008,7,0.5680926995559284
2008,8,0.6017507771496132
2008,9,0.6313401624377242
2008,10,0.6573619979669161
2008,11,0.6804407927260232
2008,12,0.7011374274231517
2008,13,0.7198537844870196
2008,14,0.7368001786640739
2008,15,0.7522598644372062
2008,16,0.7664896724471977
2008,17,0.7796325025011087
2008,18,0.7919052908250068
2008,19,0.8034092012122191
2008,20,0.8141973917288242
2008,21,0.8243185509421569
2008,22,0.833870656058477
2008,23,0.842872123067979
2008,24,0.8513751995832938
2008,25,0.8594149173700385
2008,26,0.8670215696974772
2008,27,0.8742491837008886
2008,28,0.8811315496184611
2008,29,0.8876888422709134
2008,30,0.8939320905602386
2008,31,0.8998990369202737
2008,32,0.9055891019715517
2008,33,0.9110162528976474
2008,34,0.9161962777890309
2008,35,0.9211481306311158
2008,36,0.9258868132136675
2008,37,0.930412987684648
2008,38,0.9347299440917437
2008,39,0.9388654719572371
2008,40,0.9428165088468037
2008,41,0.9466025674332001
2008,42,0.9502211025851974
2008,43,0.9536880058538846
2008,44,0.9569880892203823
2008,45,0.9601429552619523
2008,46,0.9631508037638228
2008,47,0.9660215876375485
2008,48,0.9687577692458633
2008,49,0.9713660321447591
2008,50,0.9738446795800831
2008,51,0.9761930287117495
2008,52,0.9784174113296454
2008,53,0.980524159223658
2008,54,0.98251741081855
2008,55,0.9843946416752162
2008,56,0.9861592039177143
2008,57,0.9878092559470251
2008,58,0.9893468048991583
2008,59,0.990770857552171
2008,60,0.9920927738820371
2008,61,0.9933038631967548
2008,62,0.9944105814389539
2008,63,0.9954076935013095
2008,64,0.9962981790496509
2008,65,0.9970813138596445
2008,66,0.9977621675016249
2008,67,0.9983383189971057
2008,68,0.9988124790143067
2008,69,0.9991914759540864
2008,70,0.9994907668329341
2008,71,0.9997144486913649
2008,72,0.9998717088323523
2008,73,0.9999690859670217
2008,74,1.0000008690692002
2008,75,1.0000008690692002
2008,76,1.0000008690692002
2008,77,1.0000008690692002
2008,78,1.0000008690692002
2008,79,1.0000008690692002
2008,80,1.0000008690692002
2008,81,1.0000008690692002
2008,82,1.0000008690692002
2008,83,1.0000008690692002
2008,84,1.0000008690692002
2008,85,1.0000008690692002
2008,86,1.0000008690692002
2008,87,1.0000008690692002
2008,88,1.0000008690692002
2008,89,1.0000008690692002
2008,90,1.0000008690692002
2008,91,1.0000008690692002
2008,92,1.0000008690692002
2008,93,1.0000008690692002
2008,94,1.0000008690692002
2008,95,1.0000008690692002
2008,96,1.0000008690692002
2008,97,1.0000008690692002
2008,98,1.0000008690692002
2008,99,1.0000008690692002
2008,100,1.0
2009,1,0.1408460751404265
2009,2,0.2263886101764753
2009,3,0.29235757025286174
2009,4,0.3460688409206391
2009,5,0.39208677074057824
2009,6,0.43250127030129665
2009,7,0.46838583086619195
2009,8,0.5008943911616744
2009,9,0.5304032575180542
2009,10,0.5573446196178101
2009,11,0.5820235676795731
2009,12,0.6046169633014165
2009,13,0.625458264288042
2009,14,0.6448041655977647
2009,15,0.6627341440150237
2009,16,0.6794899975534938
2009,17,0.6952144357732692
2009,18,0.7099837064667993
2009,19,0.7239408361504472
2009,20,0.7371539506122704
2009,21,0.7496961280820282
2009,22,0.7616387233397682
2009,23,0.7730046364759218
2009,24,0.7838430551414765
2009,25,0.7941765228510612
2009,26,0.8040421432979101
2009,27,0.8134730978414287
2009,28,0.8224974767309526
2009,29,0.8311457473878346
2009,30,0.8394098076174497
2009,31,0.8473379734410457
2009,32,0.8549439334074879
2009,33,0.8622273507507406
2009,34,0.8692162959103726
2009,35,0.8759308757996955
2009,36,0.8823841054355028
2009,37,0.8886061749024121
2009,38,0.8945937363498325
2009,39,0.9003580813448454
2009,40,0.9059123239530786
2009,41,0.9112529182262731
2009,42,0.9163913736389452
2009,43,0.9213395958609473
2009,44,0.9260987536685212
2009,45,0.9306770879246595
2009,46,0.9350713696373724
2009,47,0.9392942572476508
2009,48,0.9433580526206836
2009,49,0.9472678864860742
2009,50,0.9510237588438227
2009,51,0.9546277100999105
2009,52,0.9580828305779598
2009,53,0.9613945679638433
2009,54,0.9645576528595894
2009,55,0.9675795139277518
2009,56,0.9704640933119256
2009,57,0.9732063197118075
2009,58,0.9758146518978252
2009,59,0.9782829290325009
2009,60,0.9806123000823096
2009,61,0.9828043696383628
2009,62,0.9848517684674075
2009,63,0.9867639458282117
2009,64,0.9885378708264536
2009,65,0.9901717803928871
2009,66,0.9916689431390359
2009,67,0.9930338558819655
2009,68,0.9942582381391497
2009,69,0.9953452990928118
2009,70,0.9962920672779301
2009,71,0.9971077938556047
2009,72,0.9977946182806509
2009,73,0.9983546998176511
2009,74,0.9988081651896835
2009,75,0.9991671181642685
