provider_type,provider_id,year,claims,beneficiaries,payment_amount,payment_per_claim,peer_count,reason_codes,rank_in_group,note
facility_inpatient,23006G,2008,315,239,2897100.0,9197.142857142857,2408,HIGH_CLAIM_VOLUME,1,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3600NG,2008,228,147,2373900.0,10411.842105263158,2408,HIGH_CLAIM_VOLUME,2,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1000AH,2008,237,212,2319700.0,9787.763713080169,2408,HIGH_CLAIM_VOLUME,3,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,2100WC,2008,167,145,1761000.0,10544.91017964072,2408,HIGH_CLAIM_VOLUME,4,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3100JN,2008,136,100,1619900.0,11911.029411764706,2408,HIGH_CLAIM_VOLUME,5,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3400XN,2008,162,120,1578000.0,9740.74074074074,2408,HIGH_CLAIM_VOLUME,6,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,4500DP,2008,154,104,1520400.0,9872.727272727272,2408,HIGH_CLAIM_VOLUME,7,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1401RR,2008,181,150,1506900.0,8325.414364640885,2408,HIGH_CLAIM_VOLUME,8,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1002DC,2008,134,105,1501100.0,11202.23880597015,2408,HIGH_CLAIM_VOLUME,9,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,2600ZT,2008,165,132,1487450.0,9014.848484848484,2408,HIGH_CLAIM_VOLUME,10,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,0501MA,2008,126,112,1396200.0,11080.952380952382,2408,HIGH_CLAIM_VOLUME,11,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,0400AC,2008,130,85,1377000.0,10592.307692307691,2408,HIGH_CLAIM_VOLUME,12,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,4400MM,2008,145,96,1355800.0,9350.344827586207,2408,HIGH_CLAIM_VOLUME,13,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1100TC,2008,137,86,1286000.0,9386.861313868612,2408,HIGH_CLAIM_VOLUME,14,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,4500NJ,2008,117,106,1270800.0,10861.538461538461,2408,HIGH_CLAIM_VOLUME,15,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1700JJ,2008,133,92,1144100.0,8602.255639097744,2408,HIGH_CLAIM_VOLUME,16,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,0503SD,2008,102,96,1132600.0,11103.921568627451,2408,HIGH_CLAIM_VOLUME,17,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3301QB,2008,118,101,1103200.0,9349.152542372882,2408,HIGH_CLAIM_VOLUME,18,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3401MN,2008,110,90,1089000.0,9900.0,2408,HIGH_CLAIM_VOLUME,19,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,15008B,2008,101,58,1064000.0,10534.653465346535,2408,HIGH_CLAIM_VOLUME,20,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,2201YM,2008,112,103,1025900.0,9159.82142857143,2408,HIGH_CLAIM_VOLUME,21,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,3302VG,2008,92,58,1000000.0,10869.565217391304,2408,HIGH_CLAIM_VOLUME,22,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,0505KQ,2008,113,84,998000.0,8831.858407079646,2408,HIGH_CLAIM_VOLUME,23,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,0700JR,2008,101,81,957200.0,9477.227722772277,2408,HIGH_CLAIM_VOLUME,24,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_inpatient,1000AV,2008,92,70,931000.0,10119.565217391304,2408,HIGH_CLAIM_VOLUME,25,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_outpatient,0502NA,2008,3422,1194,1062800.0,310.57860900058444,5969,HIGH_CLAIM_VOLUME,1,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_outpatient,0505TK,2008,2047,730,674730.0,329.61895456766,5969,HIGH_CLAIM_VOLUME,2,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
facility_outpatient,2201DT,2008,2199,865,626720.0,285.0022737608004,5969,HIGH_CLAIM_VOLUME,3,"SYNTHETIC review flag only; not fraud, quality or performance evidence"
